packet,mode,population,family,calibration,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,ci_scope
N3,R_SIM,P_bal,mlp32,raw,HB,HBP,-0.25331808259233873,-0.2756422403625102,-0.22952706797277816,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,raw,H,Hnoise,-0.34313753418542997,-0.3612118448679051,-0.3194763556940207,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,temperature,H,HP,-0.21737023486073614,-0.2642135838953647,-0.1510735022730407,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,temperature,HB,HBP,-0.008193593732781676,-0.011190123608497431,-0.0046309443187029535,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,temperature,H,Hnoise,-0.21853778986180616,-0.26515970877391154,-0.15219980016640414,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,mixture_diagnostic,H,HP,-0.21737023486073614,-0.2642135838953647,-0.1510735022730407,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,mixture_diagnostic,HB,HBP,-0.008193593732781676,-0.011190123608497431,-0.0046309443187029535,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,R_SIM,P_bal,mlp32,mixture_diagnostic,H,Hnoise,-0.21853778986180616,-0.26515970877391154,-0.15219980016640414,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,raw,H,HP,1.154157798869034e-05,-0.0028620907116463897,0.0025778027126200204,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,raw,HB,HBP,-0.0001105226560077018,-0.0029029750047989402,0.00236646626451846,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,raw,H,Hnoise,-0.0005593271357031009,-0.0015629347494018557,0.0004355937053220978,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,temperature,H,HP,-7.710452777239066e-05,-0.0029740430235573024,0.002461617528416165,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,temperature,HB,HBP,-0.0001570778722710146,-0.002937804707879018,0.002274708467207482,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,temperature,H,Hnoise,-0.0006131753662245924,-0.001616349669689453,0.0003855907393235217,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,mixture_diagnostic,H,HP,-7.710452777239066e-05,-0.0029740430235573024,0.002461617528416165,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,mixture_diagnostic,HB,HBP,-0.0001570778722710146,-0.002937804707879018,0.002274708467207482,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_nat,logistic,mixture_diagnostic,H,Hnoise,-0.0006131753662245924,-0.001616349669689453,0.0003855907393235217,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,raw,H,HP,8.597947466990978e-05,-0.0033883632931926656,0.003361082565287926,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,raw,HB,HBP,-4.798482387598502e-05,-0.0034178074465170383,0.0030185646191055056,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,raw,H,Hnoise,-0.0008071723415270515,-0.002190545299741781,0.0005614887211816418,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,temperature,H,HP,-0.0002907880390358756,-0.0038221053905010457,0.0030719945546445527,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,temperature,HB,HBP,-0.00014754725118901562,-0.0031931953287240213,0.0026704276297809665,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,temperature,H,Hnoise,-0.0009706904193525138,-0.002395356885945835,0.0004725999131226116,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,mixture_diagnostic,H,HP,-0.0002907880390358756,-0.0038221053905010457,0.0030719945546445527,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,mixture_diagnostic,HB,HBP,-0.00014754725118901562,-0.0031931953287240213,0.0026704276297809665,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
N3,L0,P_bal,logistic,mixture_diagnostic,H,Hnoise,-0.0009706904193525138,-0.002395356885945835,0.0004725999131226116,60,2000,bits_per_trial,fixed_oof_no_refit; shared candidate draws
