mode,population,calibration,previous_run_bin,view,ce_bits,candidates,trials,scope
L0,P_nat,mixture_diagnostic,run_2,H,0.6887156737389356,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_2,HB,0.6901192232386484,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_2,HBP,0.6902119749402357,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_2,HP,0.6883573790548593,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_2,Hnoise,0.6887061802912243,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_3_5,H,0.8855493687641991,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_3_5,HB,0.8870765192277806,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_3_5,HBP,0.8872678305012234,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_3_5,HP,0.8858312074952992,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,mixture_diagnostic,run_3_5,Hnoise,0.8864762584019815,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_2,H,0.6887552514789088,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_2,HB,0.6901798793460211,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_2,HBP,0.6901762736390569,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_2,HP,0.6883745284742478,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_2,Hnoise,0.6887814897307188,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_3_5,H,0.8857439197864694,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_3_5,HB,0.887125780410998,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_3_5,HBP,0.8872978969095654,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_3_5,HP,0.8859008793744327,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,raw,run_3_5,Hnoise,0.8865683462077123,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_2,H,0.6887156737389356,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_2,HB,0.6901192232386484,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_2,HBP,0.6902119749402357,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_2,HP,0.6883573790548593,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_2,Hnoise,0.6887061802912243,60,8720,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_3_5,H,0.8855493687641991,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_3_5,HB,0.8870765192277806,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_3_5,HBP,0.8872678305012234,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_3_5,HP,0.8858312074952992,60,15807,fixed run-bin descriptive conditional population
L0,P_nat,temperature,run_3_5,Hnoise,0.8864762584019815,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_2,H,0.6446405705827443,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_2,HB,0.6917156661289118,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_2,HBP,0.6922409300869293,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_2,HP,0.6893270163618469,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_2,Hnoise,0.688338764662498,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_3_5,H,0.8316812278610946,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_3_5,HB,0.8878883903010703,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_3_5,HBP,0.8874465027199824,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_3_5,HP,0.8855068643467654,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,mixture_diagnostic,run_3_5,Hnoise,0.8880003793674,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_2,H,0.6449376858204945,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_2,HB,0.6917810869496169,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_2,HBP,0.6923260177155302,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_2,HP,0.6893745030039473,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_2,Hnoise,0.6883864606039877,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_3_5,H,0.8328711461020257,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_3_5,HB,0.8879546856908118,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_3_5,HBP,0.8874966105303976,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_3_5,HP,0.8855679188178956,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,raw,run_3_5,Hnoise,0.8880388385134218,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_2,H,0.6446405705827443,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_2,HB,0.6917156661289118,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_2,HBP,0.6922409300869293,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_2,HP,0.6893270163618469,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_2,Hnoise,0.688338764662498,60,8720,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_3_5,H,0.8316812278610946,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_3_5,HB,0.8878883903010703,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_3_5,HBP,0.8874465027199824,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_3_5,HP,0.8855068643467654,60,15807,fixed run-bin descriptive conditional population
R_SIM,P_nat,temperature,run_3_5,Hnoise,0.8880003793674,60,15807,fixed run-bin descriptive conditional population
