view,calibration,ce_bits,J_bits,bacc,auroc,brier
FULL20,calibrated,0.997891666700872,0.0021083332991279364,0.5292440857825536,0.5381600513847324,0.4985277997490844
FULL20,raw,0.9979365932894618,0.002063406710538109,0.5292440857825536,0.5381600513847324,0.49856890379415525
S0,calibrated,0.9979101685773323,0.0020898314226677297,0.5298939652081095,0.5384101558578305,0.49854588769892
S0,raw,0.9983256472097056,0.0016743527902943662,0.5298939652081095,0.5384101558578305,0.49882086016972166
S0_DUP_S1,calibrated,0.9979899944136091,0.002010005586390949,0.5304283058214708,0.538105519871912,0.49860131828744664
S0_DUP_S1,raw,0.9983569490961283,0.0016430509038718344,0.5304283058214708,0.538105519871912,0.498841894570636
S0_DUP_S2,calibrated,0.9981259934226981,0.0018740065773018733,0.5284490630779783,0.5367051211182179,0.4986931760861442
S0_DUP_S2,raw,0.9979670904258549,0.0020329095741451566,0.5284490630779783,0.5367051211182179,0.49859030129690207
S1,calibrated,0.9981480415726327,0.0018519584273672433,0.5256788752491391,0.5361305241944758,0.49871165896463915
S1,raw,0.9980594543121892,0.001940545687810789,0.5256788752491391,0.5361305241944758,0.4986466451037977
S2,calibrated,0.997953974028836,0.002046025971163938,0.5274131389405733,0.5386151295746786,0.4985692997845406
S2,raw,0.9978412874837461,0.002158712516253919,0.5274131389405733,0.5386151295746786,0.49850224637948887
