target,model,at_ceiling_n,at_ceiling_MAE,at_ceiling_share_of_total_absolute_error,below_ceiling_n,below_ceiling_MAE,below_ceiling_share_of_total_absolute_error
A_archive,M0_C,26,3.749450817661833,0.27154044344768574,26,10.058624215493191,0.7284595565523144
A_archive,M1_CQ,26,3.714385328790427,0.27906626914486243,26,9.5956622816655,0.7209337308551377
A_archive,M2_MEAN_RIDGE,26,3.714385328790427,0.27906626914486243,26,9.5956622816655,0.7209337308551377
A_archive,M3_MEAN_THEN_MLP,26,6.67660634702752,0.3241693753795724,26,13.919436506218041,0.6758306246204275
A_archive,M4_MLP_THEN_MEAN,26,6.6024778491641545,0.32229300263506516,26,13.88347063616549,0.6777069973649351
A_archive,M1_CQ_amplitude,26,3.6262808228021415,0.2653196916505919,26,10.041309397292444,0.734680308349408
A_archive,M4_amplitude,26,6.479453631293376,0.3147686957869857,26,14.105355843147613,0.6852313042130144
A_archive,M4_mismatch,26,14.233518754278473,0.5105329644102681,26,13.646206447638773,0.48946703558973187
A_archive,M3s,26,3.3053807046401804,0.2545571659973167,26,9.6794460696924,0.7454428340026834
A_archive,M4s,26,3.293998983993833,0.25365004246827516,26,9.692393416889853,0.7463499575317247
A_archive,M4s_amplitude,26,3.183770294641675,0.244951801708968,26,9.813767475765802,0.7550481982910319
A_archive,M4s_mismatch,26,5.187702059328094,0.32900674722340556,26,10.580065936643999,0.6709932527765945
V_archive_given_A,M0_C,17,2.763937615973084,0.1805902715165723,35,6.09138259953446,0.8194097284834275
V_archive_given_A,M1_CQ,17,3.411654338732949,0.19783221811538734,35,6.719146258957329,0.8021677818846128
V_archive_given_A,M2_MEAN_RIDGE,17,3.411654338732949,0.19783221811538734,35,6.719146258957329,0.8021677818846128
V_archive_given_A,M3_MEAN_THEN_MLP,17,8.941367379756405,0.34126949852953287,35,8.382916018464211,0.6587305014704672
V_archive_given_A,M4_MLP_THEN_MEAN,17,8.835829965122166,0.33702872301340076,35,8.442207552454969,0.6629712769865991
V_archive_given_A,M1_CQ_amplitude,17,3.945378158831837,0.2187694799168852,35,6.8432432878709974,0.7812305200831147
V_archive_given_A,M4_amplitude,17,8.91414154651883,0.33458229611559315,35,8.610964466137096,0.6654177038844068
V_archive_given_A,M4_mismatch,17,10.09830320398298,0.39613900038537414,35,7.476849925406428,0.6038609996146261
V_archive_given_A,M3s,17,3.3331790470914804,0.19728152832926413,35,6.58743515616932,0.8027184716707361
V_archive_given_A,M4s,17,3.3333954513890887,0.1971126600718527,35,6.594893803460877,0.8028873399281473
V_archive_given_A,M4s_amplitude,17,3.7014270528050406,0.2119525508493503,35,6.6844209508690495,0.7880474491506496
V_archive_given_A,M4s_mismatch,17,3.9277177492272832,0.22103990604375046,35,6.723039616232964,0.7789600939562495
