MAE,RMSE,n,target,predictor,skill_vs_naive_mean
13.963582149557764,16.51942799169283,52,A_archive,naive_mean,0.0
12.115384615384615,19.672804344303096,52,A_archive,naive_median,-0.41821650401736
17.47554274993299,20.444698527582425,52,V_archive_given_A,naive_mean,0.0
17.884615384615383,21.74618666836521,52,V_archive_given_A,naive_median,-0.13137037226313875
6.904037516577511,11.398697810492852,52,A_archive,M0_C,0.5238755651364306
6.655023805227963,11.245500590220052,52,A_archive,M1_CQ,0.536587680520703
6.655023805227963,11.245500590220052,52,A_archive,M2_MEAN_RIDGE,0.536587680520703
10.29802142662278,13.496968687233911,52,A_archive,M3_MEAN_THEN_MLP,0.332452044269159
10.242974242664818,13.500111777745955,52,A_archive,M4_MLP_THEN_MEAN,0.3321410991972249
6.833795110047294,11.5555559700028,52,A_archive,M1_CQ_amplitude,0.5106814495796628
10.292404737220494,13.599849921764275,52,A_archive,M4_amplitude,0.32223643059720897
13.939862600958623,17.208509289694042,52,A_archive,M4_mismatch,-0.08516678130643274
6.492413387166289,11.486581733638426,52,A_archive,M3s,0.5165054266748874
6.493196200441844,11.44223033063924,52,A_archive,M4s,0.5202319076381465
6.49876888520374,11.513410472114723,52,A_archive,M4s_amplitude,0.5142442321224984
7.883883997986047,12.151588166168237,52,A_archive,M4s_mismatch,0.45890181876093317
5.003564047216319,7.381972279436445,52,V_archive_given_A,M0_C,0.8696282791246932
5.637850823499358,8.406986540055001,52,V_archive_given_A,M1_CQ,0.8309094712031847
5.637850823499358,8.406986540055001,52,V_archive_given_A,M2_MEAN_RIDGE,0.8309094712031847
8.565486655809735,11.262895260480361,52,V_archive_given_A,M3_MEAN_THEN_MLP,0.6965139948787507
8.570891802750015,11.282654939179475,52,V_archive_given_A,M4_MLP_THEN_MEAN,0.6954481860955901
5.895864303377427,8.587396747544373,52,V_archive_given_A,M1_CQ_amplitude,0.8235743871785572
8.710080050108047,11.321538746347205,52,V_archive_given_A,M4_amplitude,0.6933453937921688
8.33386349724876,10.732119743845827,52,V_archive_given_A,M4_mismatch,0.7244441740963969
5.523543735893871,8.369540948520724,52,V_archive_given_A,M3s,0.8324124101766506
5.528634726822023,8.370768014539452,52,V_archive_given_A,M4s,0.8323632662361388
5.7092114072712015,8.556112568522353,52,V_archive_given_A,M4s_amplitude,0.8248574947519142
5.809184390481107,8.52778054398897,52,V_archive_given_A,M4s_mismatch,0.826015480016099
