probe_target,outer_fold,penalty,n_train,n_test
age_recorded_months,0,100.0,41,11
age_recorded_months,1,316.22776601683796,41,11
age_recorded_months,2,316.22776601683796,42,10
age_recorded_months,3,100.0,42,10
age_recorded_months,4,316.22776601683796,42,10
better_unaided_pta_corrected,0,10000.0,39,11
better_unaided_pta_corrected,1,10000.0,40,10
better_unaided_pta_corrected,2,10000.0,40,10
better_unaided_pta_corrected,3,10000.0,41,9
better_unaided_pta_corrected,4,10000.0,40,10
better_aided_pta_corrected,0,1000.0,33,7
better_aided_pta_corrected,1,10000.0,33,7
better_aided_pta_corrected,2,3162.2776601683795,30,10
better_aided_pta_corrected,3,10000.0,32,8
better_aided_pta_corrected,4,1000.0,32,8
age_recorded_months_PERMUTED_negative_control,0,10000.0,41,11
age_recorded_months_PERMUTED_negative_control,1,10000.0,41,11
age_recorded_months_PERMUTED_negative_control,2,10000.0,42,10
age_recorded_months_PERMUTED_negative_control,3,10000.0,42,10
age_recorded_months_PERMUTED_negative_control,4,10000.0,42,10
