child,kind,n,slope_per_position,slope_per_second,position_coef_given_time,bin0,bin1,bin2,bin3,bin4
0,standard,700,-0.0038912365982844803,-0.0017595762616833988,-0.0035522238571961073,-0.08287398020426433,-0.08903139521122967,-0.07810764120082662,-0.07249580309228991,-0.10945392794468825
0,deviant,169,-0.027014994353865215,-0.0016336973930823888,-0.03225644296344404,,,0.05703998434132543,0.031540640469255116,0.0006927727094662728
1,standard,1575,0.0029732486888323748,0.005257391305101521,-0.011962251412555375,0.023968702270871115,0.008313549074352295,0.018574569469843157,0.028118608840580643,0.03093204408923944
1,deviant,392,0.015722698747550903,0.0035084922478249717,0.029970833498528734,,,0.022682882781721588,0.017774836222330732,0.0506352117691917
2,standard,673,-0.004900225403968083,-0.004771449513975198,0.002406850421231857,-0.013404612447701247,-0.004710340887550409,0.016521639094914407,-0.046604813236893305,-0.02409611301145692
2,deviant,171,0.0012375761480892312,0.0004369572716434909,0.0008900473277417011,,,-0.016978602255544355,-0.015419036623031375,0.031687781924293154
3,standard,788,0.0027300818900380963,0.003442472504300398,-0.003648193367631093,-0.048649737879306126,-0.05211002891566477,-0.08117461854306908,-0.04847176869710286,-0.029525826799224237
3,deviant,197,0.03188941659694519,0.01339812295402799,0.05827281218661494,,,-0.005719253608772348,0.05099172592163086,0.058072087477569145
4,standard,1540,0.0007042765090777768,0.0007917960773566128,0.00015430887259795583,-0.06362513690853201,-0.055568113923072815,-0.054653050715708446,-0.04377232451115508,-0.06845355343509031
4,deviant,388,-0.011741804204035217,-0.015047894121070866,0.0130038277930163,,,0.049361043162160105,-0.012324048761735876,-0.0016748055407151176
5,standard,793,0.0025756867155299133,0.003216531629221283,-0.00348807023930272,0.04564820901433028,0.056679232269777655,0.020441837030886603,0.050846105196228876,0.0669322815261969
5,deviant,199,-0.0008624935502230312,0.004168477955462735,-0.023349561255304224,,,0.09804334138569079,0.055512293179829905,0.0865325714025845
6,standard,615,-0.0032740923052967095,-0.0011305968931694032,-0.003550889550776885,0.033592708183057374,0.009673362956836377,-0.0007063266874729966,-0.025335151137727673,0.03598270994244201
6,deviant,154,-0.008393223297487573,0.004350908393093623,-0.016571965548951347,,,0.08639985771589384,0.05261929829915364,0.059835170254562836
7,standard,461,-0.002642700619527164,-0.0014378479814734085,0.0023578625872590895,-0.07102366245775667,-0.07922859651496611,-0.038057640116050756,-0.05275461183372118,-0.08428228832426525
7,deviant,94,0.011843300367713954,0.0023290949779176742,0.006886873000647091,,-0.16581293741861977,-0.06232629742538721,-0.1770799954732259,-0.08308728535970053
8,standard,769,-0.01060703934733637,-0.008069932301088982,-0.019570107682484062,-0.028021477956542442,-0.04909999755649633,-0.05273319513369829,-0.049840351630901475,-0.08125263179114108
8,deviant,194,-0.013264498510747753,-0.005856849680577414,-0.014011808238546784,,,0.04063472204041063,-0.05139800707499187,-0.004158014538644373
9,standard,382,0.008780939224846449,0.0006657555833512788,0.012371394690815033,-0.04861603728656111,0.057614780134624906,0.03863456045709006,0.06531019378126712,0.021577767309198526
9,deviant,68,-0.01335219846003244,-0.009852638064642826,0.017903369747349244,0.04030169862689394,0.05105234781901041,,,0.004223625939171604
10,standard,791,0.0026079845686696667,0.005351301730532558,-0.01976973465840878,0.15404532524534895,0.0979853757545226,0.13321457654237748,0.15624931123521596,0.14229013980963287
10,deviant,197,-0.007314405478309865,-0.00026790054247935794,-0.02292525862738149,,,0.27426394900760137,0.27182022730509436,0.2608172045813666
11,standard,708,-0.004658278829200821,-0.0014697813630216844,-0.005076252956346668,-0.03947108007048156,-0.06212916534938169,-0.02386666479564849,-0.023000087003288025,-0.08972311174213693
11,deviant,181,0.02030588977907971,0.008070636427550825,0.011649269975084423,,,-0.10436278895327919,0.017288806391697307,-0.03756649389206988
12,standard,785,-0.004078101932767195,-0.002228444323450696,-0.009619939162280836,0.013191879516232614,-0.01207092924233339,-0.027351679223956486,-0.012952222233324977,-0.0023715146864303465
12,deviant,193,0.0008979322791065929,0.0047942014247008505,-0.01219631954726169,,,0.03779393383580395,0.0055313808162037945,0.032107913036965335
13,standard,791,0.005094300543150654,0.005776886124704044,0.009397990142516391,-0.010033157602626477,-0.009189580024693549,-0.013566573460896805,0.0030641696032355794,0.012029007897860763
13,deviant,199,0.006796270678985202,-0.005629854286706894,0.05565185013020475,,,0.0796473319070381,0.05621762004325061,0.0892241662289916
