model,seed,partition,train_block,child,n_records,n,n_class1,auc,auc_pitch_direction,bacc,ce_bal_bits,j_bits
per_child,11,odd_even_blocks,0,0,2,358,52,0.4849494020002189,0.5521634615384615,0.3169895893580104,1.591878890991211,-0.006916390270054862
per_child,11,odd_even_blocks,1,0,2,380,42,0.48135703950179565,0.4777777777777777,0.3528378207559095,1.5925477743148804,-0.0075852735937242954
per_child,11,odd_even_blocks,0,1,2,358,50,0.5038036409848466,0.45069767441860464,0.33009799619716246,1.6178550720214844,-0.0328925713003283
per_child,11,odd_even_blocks,1,1,2,377,45,0.4456770778340766,0.5421717171717172,0.3407617845117845,1.591201663017273,-0.0062391622961168736
per_child,11,odd_even_blocks,0,2,7,1078,152,0.5063413187207458,0.5479396164830681,0.33181740192251613,1.5845011472702026,0.00046135345095343894
per_child,11,odd_even_blocks,1,2,8,1133,137,0.46952056186070673,0.45711678832116787,0.3104621919133073,1.5891889333724976,-0.004226432651341483
per_child,11,odd_even_blocks,0,3,3,891,111,0.5341738866412619,0.5414868650162767,0.371291224098913,1.5853527784347534,-0.0003902777135973423
per_child,11,odd_even_blocks,1,3,3,913,103,0.5228686517562687,0.5043495145631068,0.34865452483877823,1.614308476448059,-0.029345975726903006
per_child,11,odd_even_blocks,0,4,2,598,79,0.5253859599258072,0.5705739552627016,0.34788172901693387,1.5869070291519165,-0.0019445284307604283
per_child,11,odd_even_blocks,1,4,2,631,75,0.4936635032354643,0.5438095238095239,0.3636135606505977,1.6700538396835327,-0.08509133896237664
per_child,11,odd_even_blocks,0,5,3,938,127,0.4898025367782148,0.4802095050618673,0.32677483849926486,1.5888551473617554,-0.0038926466405992954
per_child,11,odd_even_blocks,1,5,3,984,122,0.507801306416891,0.5038670015864621,0.33567982603852126,1.5864773988723755,-0.0015148981512194126
per_child,11,odd_even_blocks,0,7,3,895,97,0.500213436165667,0.48443973407842755,0.3383859305872321,1.59246027469635,-0.007497773975194022
per_child,11,odd_even_blocks,1,7,3,898,116,0.5647749553879763,0.5921382257589154,0.37718441402651925,1.5708374977111816,0.014125003009974435
per_child,11,odd_even_blocks,0,8,3,879,110,0.5083714357995981,0.5120645709430756,0.3474600025154843,1.5871305465698242,-0.002168045848668143
per_child,11,odd_even_blocks,1,8,3,884,112,0.5054542595065724,0.5168332241153342,0.32846357785645425,1.6071869134902954,-0.022224412769139335
per_child,11,odd_even_blocks,0,9,3,934,106,0.5042598561076387,0.47317656998028723,0.32635893448855985,1.5861505270004272,-0.0011880262792711704
per_child,11,odd_even_blocks,1,9,3,967,137,0.5195467702032954,0.506457046603032,0.3366393246950646,1.5856186151504517,-0.0006561144292955845
per_child,11,odd_even_blocks,0,10,4,998,133,0.4723780382159711,0.4702895297946358,0.3284351465060347,1.5945230722427368,-0.00956057152158074
per_child,11,odd_even_blocks,1,10,4,993,116,0.5022160645488208,0.47133620689655176,0.33571395151426026,1.5860486030578613,-0.0010861023367052525
per_child,11,odd_even_blocks,0,11,4,1251,157,0.49479615009440264,0.4543377992532396,0.33816128521350736,1.5911725759506226,-0.006210075229466483
per_child,11,odd_even_blocks,1,11,4,1286,166,0.5180390544223549,0.5180722891566265,0.32797099446432415,1.5852794647216797,-0.00031696400052361184
per_child,11,odd_even_blocks,0,12,6,1348,154,0.49022511275248387,0.4730328495034377,0.33421798406862746,1.5881295204162598,-0.00316701969510369
per_child,11,odd_even_blocks,1,12,6,1352,158,0.4959406847567627,0.5107928047968022,0.3270520405608302,1.5880517959594727,-0.0030892952383165806
per_child,11,odd_even_blocks,0,13,5,1600,203,0.515288962448999,0.5281681638172511,0.3360077379700808,1.5836467742919922,0.0013157264291638882
per_child,11,odd_even_blocks,1,13,5,1655,209,0.5235747004680212,0.5246817327409433,0.3463675299131626,1.585494875907898,-0.0005323751867418736
per_child,11,odd_even_blocks,0,14,5,1605,213,0.528319920540825,0.5309580253800027,0.3520089800434653,1.588330626487732,-0.003368125766575858
per_child,11,odd_even_blocks,1,14,5,1638,181,0.4910020430904505,0.5039343713376863,0.33588797043525215,1.5872043371200562,-0.0022418363989000767
per_child,11,early_late_halves,0,0,2,544,62,0.4992351062561016,0.4469267654751526,0.3284135653680246,1.6115528345108032,-0.026590333789647147
per_child,11,early_late_halves,1,0,2,539,74,0.5125897297085636,0.48648648648648646,0.34760137511314265,1.585323691368103,-0.0003611906469469517
per_child,11,early_late_halves,0,1,2,456,58,0.5331698606882861,0.5527298850574712,0.3465868643587477,1.5826469659805298,0.0023155347406262905
per_child,11,early_late_halves,1,1,2,640,76,0.49868272638751554,0.5076754385964912,0.3269577869967733,1.5946229696273804,-0.009660468906224295
per_child,11,early_late_halves,0,2,8,1296,155,0.5176170868821105,0.5450858328617243,0.3327585860412773,1.5863618850708008,-0.0013993843496447056
per_child,11,early_late_halves,1,2,8,2030,250,0.4825494126269258,0.47249572649572646,0.3165403301599938,1.586686134338379,-0.0017236336172228306
per_child,11,early_late_halves,0,3,3,1336,170,0.5192269980157579,0.5347560975609756,0.33821190712787724,1.5840520858764648,0.0009104148446912319
per_child,11,early_late_halves,1,3,3,1368,164,0.5003757172773187,0.5217182789805427,0.3193541413697861,1.5869183540344238,-0.0019558533132677525
per_child,11,early_late_halves,0,4,2,919,115,0.49020858505263565,0.4938339920948617,0.32818436210241747,1.591729760169983,-0.0067672594488268345
per_child,11,early_late_halves,1,4,2,905,115,0.4997232289454326,0.48114754098360657,0.36256595860310736,1.5898581743240356,-0.004895673602879569
per_child,11,early_late_halves,0,5,3,1448,192,0.485170824517825,0.48107638888888893,0.3348336603331956,1.591780185699463,-0.006817684978306815
per_child,11,early_late_halves,1,5,3,1435,171,0.5021748327671481,0.49768725014041704,0.3335363714337672,1.5978647470474243,-0.01290224632626824
per_child,11,early_late_halves,0,7,3,1354,169,0.5017566599696135,0.48690743385703594,0.3293323196588866,1.5895131826400757,-0.004550681918919608
per_child,11,early_late_halves,1,7,3,1312,166,0.5432667468182942,0.5536068323928626,0.3711187701659917,1.6908410787582397,-0.10587857803708367
per_child,11,early_late_halves,0,8,3,1362,179,0.5465987441304657,0.5157534959575281,0.3788950592431648,1.593896508216858,-0.008934007495701835
per_child,11,early_late_halves,1,8,3,1328,164,0.5106012097159429,0.5020905923344947,0.35959899193098527,1.6173416376113892,-0.032379136890233085
per_child,11,early_late_halves,0,9,3,1416,172,0.4909082408444438,0.49984426910298996,0.3343006102472688,1.5874069929122925,-0.002444492191136405
