outer_fold,analysis_set,train_trials,test_trials,train_groups,test_groups,common_strata,status
0,all,15223,4267,48,12,9,COMPLETED_L0_FOLD
0,previous_response_available,13568,4049,47,12,9,COMPLETED_L0_FOLD
1,all,15623,3866,48,12,9,COMPLETED_L0_FOLD
1,previous_response_available,14115,3501,47,12,9,COMPLETED_L0_FOLD
2,all,15675,3814,48,12,9,COMPLETED_L0_FOLD
2,previous_response_available,14286,3330,48,11,9,COMPLETED_L0_FOLD
3,all,15584,3906,48,12,9,COMPLETED_L0_FOLD
3,previous_response_available,14106,3511,47,12,9,COMPLETED_L0_FOLD
4,all,15855,3635,48,12,9,COMPLETED_L0_FOLD
4,previous_response_available,14393,3224,47,12,9,COMPLETED_L0_FOLD
