analysis_set,probability_mode,comparison,baseline,augmented,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,effect,gain_definition,valid,positive_candidate_fraction,unit,ci_scope
all,calibrated,main_gain,B0_context_spline,B2_post,-0.0016727099383447408,-0.0026009574339566767,-0.0007459135817781616,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.35,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
all,calibrated,post_increment_over_pre,B1_pre,B3_pre_post,0.000806832569099932,-0.00018388091640453102,0.0016802672178905294,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.6166666666666667,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
all,raw,main_gain,B0_context_spline,B2_post,-0.0024093333766502857,-0.0037291557497480185,-0.0010761236897066124,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.38333333333333336,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
all,raw,post_increment_over_pre,B1_pre,B3_pre_post,0.0007452774759289515,-0.0006906690324093581,0.0021188933111865853,60,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.5666666666666667,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,calibrated,main_gain,B0_context_spline,B2_post,-0.0021034879754913646,-0.0030269990331815615,-0.0012258621746616633,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.288135593220339,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,calibrated,post_increment_over_pre,B1_pre,B3_pre_post,0.0009010683379488734,8.049060609086598e-05,0.0016746429196260253,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.6271186440677966,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,calibrated,post_increment_over_previous,B4_previous,B5_previous_post,0.0002913291991745923,-0.00044742910818399583,0.0011130538005048945,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.5254237288135594,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,raw,main_gain,B0_context_spline,B2_post,-0.002536228154231861,-0.00385004084099127,-0.001310786486184918,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.288135593220339,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,raw,post_increment_over_pre,B1_pre,B3_pre_post,0.0012169411131937751,-4.137602725646444e-05,0.002473546306876711,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.6779661016949152,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
previous_response_available,raw,post_increment_over_previous,B4_previous,B5_previous_post,9.994764378742586e-05,-0.0009476955500545707,0.0012442604871116911,59,2000,20260917,baseline_minus_augmented,baseline - augmented,True,0.5084745762711864,bits/trial of held-out predictive gain,fixed OOF candidate-group cluster bootstrap; no workflow refitting
