template,seed,fold,child,kind,tag,auc
early,11,0,0,within,HA,0.5942980615926827
early,11,0,1,other,HA,0.5202257564352487
early,11,0,2,cross,HA,0.49806201550387597
early,11,0,3,within,NH,0.63358395033458
early,11,0,4,cross,HA,0.5411991829414109
early,11,0,6,other,HA,0.5305641240131751
early,11,0,7,cross,HA,0.41200409230419466
early,11,0,8,cross,HA,0.5455718514084272
early,11,0,9,cross,HA,0.5321441843180974
early,11,0,13,within,HA,0.5831967213114753
early,11,0,14,other,HA,0.49332061068702293
early,11,0,15,other,NH,0.4665979232244293
early,11,0,16,within,NH,0.5307273038081212
early,11,0,17,cross,HA,0.4298239448993218
early,11,0,18,cross,HA,0.5518126126126126
early,11,0,19,other,NH,0.6362610340479193
early,11,0,20,other,HA,0.5375471304875045
early,11,0,21,cross,NH,0.5757635467980295
early,11,0,23,cross,HA,0.466751269035533
early,11,0,24,cross,HA,0.4736716462448013
early,11,0,25,cross,HA,0.5524173128659597
early,11,0,26,cross,HA,0.4407425907425907
early,11,0,27,cross,new,0.48209164509415764
early,11,0,28,other,HA,0.4547057502246181
early,11,0,30,other,HA,0.567927894395708
early,11,0,31,other,new,0.5825088461805314
early,11,0,37,other,HA,0.49405739050495767
early,11,0,40,cross,HA,0.49045161290322586
early,11,0,41,cross,new,0.5358860065299459
early,11,0,45,within,HA,0.5780050099936882
early,11,0,46,other,HA,0.5249384387077837
early,11,0,47,cross,new,0.47466833541927406
early,11,0,48,other,new,0.5753392112348873
early,11,0,49,other,new,0.5534243772697048
early,11,0,50,within,new,0.6077021412591883
early,11,0,51,cross,HA,0.5173727579965318
early,11,0,52,other,HA,0.5339651241290586
early,11,0,53,cross,HA,0.5417595559513054
early,11,0,54,cross,HA,0.4990946949121854
early,11,0,55,other,HA,0.510867665054484
early,11,0,56,cross,HA,0.5454585427135679
early,11,0,57,other,HA,0.576109022556391
early,11,0,58,other,NH,0.5399522957662493
early,11,0,60,other,HA,0.5202099737532808
early,11,0,61,cross,HA,0.5125039637925568
early,11,0,62,cross,HA,0.6206463905665803
early,11,0,66,cross,HA,0.5660786749482403
early,11,0,68,cross,NH,0.612238196015471
early,11,0,69,other,new,0.5225008313934153
early,11,0,70,other,HA,0.5257954032463836
early,11,0,71,other,HA,0.46576872536136665
early,11,1,1,other,HA,0.5032811565111657
early,11,1,2,cross,HA,0.4941257536606374
early,11,1,4,cross,HA,0.5645916367742794
early,11,1,6,other,HA,0.53664976211638
early,11,1,7,cross,HA,0.4054336705695123
early,11,1,8,cross,HA,0.5275300143004423
early,11,1,9,cross,HA,0.5014678558156819
early,11,1,10,within,HA,0.6829454698307158
early,11,1,14,other,HA,0.49857994705322956
early,11,1,15,other,NH,0.46945620319114295
early,11,1,17,cross,HA,0.4224795305197315
early,11,1,18,cross,HA,0.5844972972972974
early,11,1,19,other,NH,0.6244577553593947
early,11,1,20,other,HA,0.5452698990128649
early,11,1,21,cross,NH,0.5663834154351396
early,11,1,23,cross,HA,0.47113578680203044
early,11,1,24,cross,HA,0.45811372834256514
early,11,1,25,cross,HA,0.5621340401962336
early,11,1,26,cross,HA,0.436023976023976
early,11,1,27,cross,new,0.487126288005685
early,11,1,28,other,HA,0.48081761006289314
early,11,1,29,within,new,0.579499596448749
early,11,1,30,other,HA,0.6016640248480687
early,11,1,31,other,new,0.5686602372857836
early,11,1,35,within,HA,0.5354336447359703
early,11,1,37,other,HA,0.5016963249939808
early,11,1,39,within,new,0.5236260341763848
early,11,1,40,cross,HA,0.48618838709677425
early,11,1,41,cross,new,0.49702198755229055
early,11,1,43,within,HA,0.6035429936305732
early,11,1,46,other,HA,0.49432902268390927
early,11,1,47,cross,new,0.44454943679599496
early,11,1,48,other,new,0.5969009028034422
early,11,1,49,other,new,0.5604284947061532
early,11,1,51,cross,HA,0.5414580775413592
early,11,1,52,other,HA,0.5426458787114525
early,11,1,53,cross,HA,0.5485093300922285
early,11,1,54,cross,HA,0.4928480898062647
early,11,1,55,other,HA,0.5098406270030884
early,11,1,56,cross,HA,0.5439415829145728
early,11,1,57,other,HA,0.5957111528822056
early,11,1,58,other,NH,0.553826277082091
